,titles,released,developers,publishers,genres
0,101 Dalmatians: Escape from DeVil Manor,1999,DreamForge Intertainment,Disney Interactive,"Puzzle, Strategy, Adventure"
1,102 Dalmatians: Puppies to the Rescue,2000,Crystal Dynamics,Eidos Interactive,"Platform, Adventure"
2,140,2016,Double Fine Productions,Abstraction Games,"Music, Platform, Puzzle, Strategy, Indie"
3,1001 Spikes,2014,8bits Fanatics,Nicalis,"Platform, Adventure, Indie"
4,The 11th Hour,1995,Trilobyte,Virgin Interactive,"Point-and-click, Puzzle, Adventure"
5,12Riven: The Psi-Climinal of Integral,2008,"KID, Cyberfront","KID, Cyberfront, SDR Project","Adventure, Visual Novel"
6,1914 Shells of Fury,2007,Rondomedia,"Strategy First, h2f Informationssysteme",Simulator
7,2 on 2 Open Ice Challenge,1997,Midway Games,Midway Games,Sport
8,2002 FIFA World Cup,2002,EA Canada,EA Sports,Sport
9,2006 FIFA World Cup,2006,EA Canada,EA Sports,Sport
10,25 To Life,2006,Avalanche Software,Eidos Interactive,Shooter
11,3D Ultra Minigolf,2007,Wanako Games,Sierra On-Line,Sport
12,3-D Ultra Pinball,1995,Dynamix,Sierra On-Line,Pinball
13,3D Body Adventure,1995,Knowledge Adventure,Levande Böcker,Point-and-click
14,428: Shibuya Scramble,2018,Spike Chunsoft,Spike Chunsoft,"Adventure, Visual Novel"
15,4x4 EVO 2,2001,Terminal Reality,Gathering of Developers,"Racing, Simulator"
16,4x4 Evolution,2000,Terminal Reality,Gathering of Developers,Racing
17,5,2008,Ram,Visual Arts,"Shooter, Adventure"
18,6180 the moon,2014,PokPoong GamesTurtle Cream,Turtle Cream,"Music, Platform, Puzzle, Adventure, Indie, Arcade"
19,7 Sins,2005,Monte Cristo,Digital Jesters,"Point-and-click, Puzzle, Adventure"
20,7 Wonders of the Ancient World,2007,Hot Lava Games,MumboJumbo,"Puzzle, Strategy"
21,The 7th Guest,1993,Trilobyte,Virgin Games,"Point-and-click, Adventure"
22,80 Days,2005,Frogwares,Frogwares,"Platform, Puzzle, Adventure"
23,9: The Last Resort,1996,Tribeca Interactive,GT Interactive,"Point-and-click, Adventure"
24,A Game of Thrones: Genesis,2011,Cyanide,Focus Home Interactive,"Real Time Strategy (RTS), Strategy"
25,A New Beginning,2010,Daedalic Entertainment,Deep Silver,Visual Novel
26,A Virus Named TOM,2012,Misfits Attic,Misfits Attic,"Puzzle, Strategy, Indie, Arcade"
27,A2 Racer,1997,Davilex Games,Davilex Games,Racing
28,ABC Sports Indy Racing,1997,Shot Sports Software,ABC Interactive,Racing
29,Abomination: The Nemesis Project,1999,Hothouse Creations,Eidos Interactive,Strategy
30,Ace Online,2006,MasangSoft,Yedang,"Role-playing (RPG), Adventure"
31,Ace Ventura,1996,7th Level,Bomico Entertainment Software,Adventure
32,Aces of the Galaxy,2008,Artech Studios,Sierra Online,Shooter
33,Achtung Spitfire!,1997,Big Time Software,Avalon Hill,Turn-based strategy (TBS)
34,Act of War: Direct Action,2005,Eugen Systems,Atari,"Real Time Strategy (RTS), Strategy"
35,Act of War: High Treason,2006,Eugen Systems,Atari,"Real Time Strategy (RTS), Strategy"
37,Activision Anthology,2002,MacPlay,Activision,"Racing, Simulator, Sport, Strategy"
38,Actua Ice Hockey,1998,Gremlin Interactive,Gremlin Interactive,Sport
39,Actua Pool,1999,Gremlin Interactive,Gremlin Interactive,Sport
40,Addiction Pinball,1998,Team17,Microprose,Pinball
41,Adrift,2015,Three One Zero,505 Games,Simulator
42,Advent Rising,2005,GlyphX Games,Majesco Entertainment,"Shooter, Adventure"
43,Adventure Pinball: Forgotten Island,2001,Digital Extremes,Electronic Arts,Pinball
44,The Adventures of Fatman,2003,Socko! Entertainment,Socko! Entertainment,"Adventure, Indie"
45,The Adventures of Lomax,1996,Psygnosis,Psygnosis,"Platform, Adventure"
46,Adventures of Pip,2015,TicToc Games,TicToc Games,"Role-playing (RPG), Adventure, Indie"
47,AdvertCity,2015,VoxelStorm,VoxelStorm,"Simulator, Strategy, Indie"
48,Afterlife,1996,LucasArts,LucasArts,"Music, Platform, Adventure, Indie"
49,Agatha Christie: And Then There Were None,2005,AWE Productions,The Adventure Company,Adventure
50,Agatha Christie: Evil Under the Sun,2007,AWE Productions,The Adventure Company,Adventure
51,Agatha Christie: Murder on the Orient Express,2006,AWE Productions,The Adventure Company,"Point-and-click, Adventure"
52,Age of Booty,2008,Certain Affinity,Capcom,Strategy
54,Age of Conan: Hyborian Adventures,2008,Funcom,Funcom,"Role-playing (RPG), Adventure"
55,Age of Empires,1997,Ensemble Studios,Microsoft Game Studios,"Real Time Strategy (RTS), Strategy"
56,Age of Empires: The Rise of Rome,1998,Ensemble Studios,Microsoft Game Studios,"Real Time Strategy (RTS), Simulator, Strategy"
57,Age of Empires II: The Age of Kings,1999,Ensemble Studios,Microsoft Game Studios,"Real Time Strategy (RTS), Strategy"
58,Age of Empires II: The Conquerors,2000,Ensemble Studios,Microsoft Game Studios,"Real Time Strategy (RTS), Strategy"
59,Age of Empires II: The Forgotten,2013,SkyBox Labs,Microsoft Game Studios,Strategy
60,Age of Empires II: The African Kingdoms,2015,SkyBox Labs,Microsoft Game Studios,"Real Time Strategy (RTS), Strategy"
61,Age of Empires II: Rise of the Rajas,2016,SkyBox Labs,Microsoft Game Studios,"Real Time Strategy (RTS), Strategy"
62,Age of Empires III,2005,Ensemble Studios,Microsoft Game Studios,Strategy
63,Age of Empires III: The Asian Dynasties,2007,Ensemble StudiosBig Huge Games,Microsoft Game Studios,"Point-and-click, Real Time Strategy (RTS), Strategy"
64,Age of Empires III: The WarChiefs,2006,Ensemble Studios,Microsoft Game Studios,"Real Time Strategy (RTS), Simulator, Strategy"
65,Age of Mythology,2002,Ensemble Studios,Microsoft Game Studios,"Role-playing (RPG), Adventure"
66,Age of Pirates: Captain Blood,2009,THQ,"1C Company, MTV Games",Adventure
67,Age of Pirates: Caribbean Tales,2006,Akella,"1C Company, Playlogic Entertainment","Role-playing (RPG), Simulator"
68,Age of Pirates 2: City of Abandoned Ships,2009,Akella,Playlogic Entertainment,"Role-playing (RPG), Simulator"
69,Age of Sail,1996,TalonSoft,TalonSoft,"Role-playing (RPG), Strategy, Adventure"
70,Age of Sail II,2001,Akella,TalonSoft,"Simulator, Strategy"
71,Age of Wanderers,2003,Joymax,OSC,"Fighting, ""Hack and slash/Beat em up"""
72,Age of Wonders,1999,Triumph Studios,Gathering of Developers,Strategy
73,Age of Wonders: Planetfall,2019,Triumph Studios,Paradox Interactive,"Strategy, Turn-based strategy (TBS)"
74,Age of Wonders: Shadow Magic,2003,Triumph Studios,Gathering of Developers,"Role-playing (RPG), Strategy, Turn-based strategy (TBS)"
75,Age of Wonders II: The Wizards Throne,2002,Triumph Studios,Take 2,"Role-playing (RPG), Strategy, Turn-based strategy (TBS)"
76,Age of Wonders III,2014,Triumph Studios,Triumph Studios,"Strategy, Turn-based strategy (TBS)"
77,Ai Space,2008,Ai Space Production Committee,Ai Space Production Committee,"Simulator, Strategy, Indie"
78,Aion: The Tower of Eternity,2008,NCsoft,NCsoft,Role-playing (RPG)
79,Air Assault Task Force,2006,ProSIM Company,Shrapnel Games,"Simulator, Strategy"
80,Airfix Dogfighter,2000,Unique Development Studios,EON Digital Entertainment,Simulator
81,Airport Mania,2008,Reflexive Entertainment,Reflexive Entertainment,Strategy
82,Airport Tycoon,2000,Krisalis Software,TalonSoft and Global Star Software,Simulator
83,Airport Tycoon 2,2003,Sunstorm Interactive,Global Star Software,Simulator
84,Airport Tycoon 3,2003,InterActive Vision,Global Star Software,"Simulator, Strategy"
85,Akatsuki Blitzkampf,2007,Subtle Style,Subtle Style,Fighting
86,Al Emmo and the Lost Dutchmans Mine,2006,Himalaya Studios,Himalaya Studios,"Adventure, Indie"
87,Alan Wake,2012,"Remedy Entertainment, Nitro Games",Legacy Interactive,"Shooter, Adventure"
88,Alan Wakes American Nightmare,2012,"Remedy Entertainment, Nitro Games",Remedy Entertainment,"Shooter, Adventure"
89,Alchemy,2001,PopCap Games,PopCap Games,"Simulator, Indie"
90,Alexander,2004,GSC Game World,Ubisoft,"Music, Adventure"
91,Alfa Romeo Racing Italiano,2005,Milestone srl,Valcon Games,"Racing, Role-playing (RPG)"
92,Alias,2004,Acclaim Cheltenham,Acclaim Entertainment,Adventure
93,Alice: An Interactive Museum,1994,Toshiba-EMI Ltd,Synergy Interactive Crop.,"Point-and-click, Adventure, Visual Novel"
94,Alice VR,2016,Carbon Studio,Klabater,Indie
95,Alien Shooter: Vengeance,2007,Sigma Team,Sigma Team,Arcade
96,Alien Stars,2005,Awem,Awem,"Role-playing (RPG), Strategy"
97,Alien Swarm,2010,Valve,Valve,"Shooter, Adventure"
98,Aliens versus Predator,1999,Rebellion Developments,"Sierra Entertainment, Fox Interactive",Shooter
99,Aliens versus Predator 2,2001,Third Law Entertainment,Sierra Entertainment,Shooter
100,Aliens versus Predator Classic 2000,2010,Rebellion Developments,Rebellion Developments,Shooter
101,Aliens vs. Predator,2010,Rebellion Developments,Sega,Shooter
102,Aliens: Colonial Marines,2010,Gearbox Software,Sega,Shooter
103,Allegiance,2000,Microsoft Research,Microsoft,Adventure
104,Alliance of Valiant Arms,2007,Red Duck,"Neowiz, NHN USA",Shooter
105,Allied General,1995,Strategic Simulations,Strategic Simulations,Strategy
106,Alone in the Dark,2008,Eden Games,Atari,"Adventure, Indie"
107,Alone in the Dark: The New Nightmare,2001,Darkworks,Infogrames,"Puzzle, Adventure"
108,Alpha Prime,2007,Black Element Software,"Idea Games, Meridian4",Shooter
109,Alpha Protocol,2009,Obsidian Entertainment,Sega,"Shooter, Role-playing (RPG)"
110,Alvin and the Chipmunks,2007,Sensory Sweep Studios,Brash Entertainment,"Music, Adventure"
111,The Amazon Trail,1996,MECC,MECC,"Simulator, Adventure"
112,Amazon Trail 3rd Edition,1998,MECC,The Learning Company,"Simulator, Adventure"
113,Amber: Journeys Beyond,1996,Hue Forest Entertainment,Hue Forest Entertainment,"Point-and-click, Adventure"
114,American Conquest,2003,GSC Game World,CDV,"Real Time Strategy (RTS), Strategy"
115,American Idol,2003,Hothouse Creations,Codemasters,Music
116,American McGees Alice,2000,Rogue Entertainment,Electronic Arts,"Platform, ""Hack and slash/Beat em up"", Adventure"
117,American McGees Grimm,2008,Spicy Horse,Turner Broadcasting System,Indie
118,Amerzone,1999,Microids,Casterman,Adventure
119,Amnesia: A Machine for Pigs,2013,The Chinese Room,Frictional Games,"Puzzle, Adventure, Indie"
120,Amnesia: The Dark Descent,2010,Frictional Games,Frictional Games,"Puzzle, Adventure, Indie"
121,Amok,1996,Lemon,"Scavenger, Koei, Tec Toy","Shooter, Puzzle"
122,Anachronox,2001,Ion Storm,"Eidos Interactive, Infogrames",Role-playing (RPG)
123,Anacreon: Imperial Conquest in the Far Future,2004,Thinking Machine Associates,Thinking Machine Associates,Strategy
124,Anarchy Online,2001,Funcom,Funcom,"Adventure, Indie"
125,Ancient Wars: Sparta,2007,World Forge,Play Ten Interactive,"Real Time Strategy (RTS), Strategy"
126,And Yet It Moves,2009,Broken Rules,Broken Rules,"Platform, Puzzle, Indie"
127,Angelique,1994,Ruby Party,Koei,Strategy
128,Angelique Special,1995,Koei,NEC,"Simulator, Strategy, Adventure"
129,Angels Online,2006,UserJoy Technology,Q Entertainment,Role-playing (RPG)
130,Angry Birds 2,2019,Rovio Entertainment,Rovio Entertainment,Puzzle
131,Angry Birds Friends,2019,Rovio Entertainment,Rovio Entertainment,"Puzzle, Tactical, Arcade"
132,Angry Birds Rio,2011,Rovio Entertainment,Rovio Entertainment,"Platform, Puzzle, Arcade"
133,Angry Birds Seasons,2011,Rovio Entertainment,Rovio Entertainment,"Puzzle, Arcade"
134,Animamundi: Dark Alchemist,2004,Karin Entertainment,Hirameki International,"Adventure, Visual Novel"
135,Ankh,2005,Deck13 Interactive,BHV Software,"Puzzle, Adventure, Indie"
136,Ankh: Heart of Osiris,2006,Deck13 Interactive,BHV Software,"Point-and-click, Adventure"
137,Anno 1404,2009,Related Designs,Ubisoft,"Real Time Strategy (RTS), Simulator, Strategy"
138,Anno 1503,2003,Max Design,Sunflowers,"Simulator, Strategy"
139,Anno 1602,1998,Max Design,Sunflowers,"Simulator, Strategy"
140,Anno 1701,2006,Related Designs,Sunflowers,"Real Time Strategy (RTS), Simulator, Strategy"
141,Anno 2070,2011,Related Designs,Ubisoft,"Real Time Strategy (RTS), Simulator, Strategy"
142,Anodyne,2013,Analgesic Productions,Analgesic Productions,"Platform, Role-playing (RPG), Adventure, Indie"
143,Anomaly: Warzone Earth,2011,11 Bit Studios,11 Bit Studios,"Real Time Strategy (RTS), Strategy"
144,The Ant Bully,2006,Artificial Mind and Movement,Midway Games,Adventure
145,Ant War,2003,Anarchy Enterprises,Anarchy Enterprises,Strategy
